数据时间,1#炉膛上部温度,1#炉膛中部温度,2#炉膛上部温度,2#炉膛中部温度,3#炉膛上部温度,3#炉膛中部温度,1#炉炉膛负压,2#炉膛负压,3#炉膛压力,1#炉一次风机速度反馈,1#炉一次风机已运行,2#炉一次风机速度反馈,2#炉一次风机已运行,3#炉一次风机速度反馈,3#炉一次风机已运行,1#炉二次风机速度反馈,1#炉二次风机已运行,2#炉二次风机速度反馈,2#炉二次风机已运行,3#炉二次风机速度反馈,3#炉二次风机已运行,1#炉引风机速度反馈,1#炉引风机已运行,2#炉引风机速度反馈,2#炉引风机已运行,3#炉引风机速度反馈,3#SNCRz除盐水流量,3#SNC尿素溶液流量,1#炉雾化石灰浆流量,2#炉雾化石灰浆流量,3#炉雾化石灰浆流量,1#炉SNCR炉膛出口温度,2#炉SNCR炉膛出口温度,3#炉SNCR炉膛出口温度,1#炉布袋除尘器压差,1#炉布袋除尘器入口温度,2#炉布袋除尘器压差,2#炉布袋除尘器入口温度,3#炉布袋除尘器压差,3#炉布袋除尘器入口温度,1#炉烟气温度,1#炉烟气压力,1#炉烟气流量,1#炉烟气湿度,1#炉烟气O2,1#炉烟气KLW（折算）,1#炉烟气SO2（折算）,1#炉烟气NOX（折算）,1#炉烟气CO（折算）,1#炉烟气HCL（折算）,2#炉烟气温度,2#炉烟气压力,2#炉烟气流量,2#炉烟气湿度,2#炉烟气O2,2#炉烟气KLW（折算）,2#炉烟气SO2（折算）,2#炉烟气NOX（折算）,2#炉烟气CO（折算）,2#炉烟气HCL（折算）,3#炉烟气温度,3#炉烟气压力,3#炉烟气流速,3#炉烟气湿度,3#炉烟气O2,3#炉烟气粉尘（折算）,3#炉烟气SO2（折算）,3#炉烟气NOX（折算）,3#炉烟气CO（折算）,3#炉烟气HCL（折算）
2025-05-23 05:44:00,656.30,999.24,1004.12,1036.69,939.58,875.48,-151.55,-91.35,-84.95,29.44,1.00,19.11,1.00,45.83,1.00,4.63,1.00,27.63,1.00,34.52,1.00,31.64,1.00,21.15,1.00,39.44,0.00,29.79,995.00,2.00,3.00,617.50,663.07,813.00,-2703.65,145.04,-2017.55,177.87,2577.05,175.09,128.24,-16.00,11.64,11.32,18.16,27.10,24.10,237.86,134.71,0.85,163.54,-139.00,22.29,11.22,11.38,4.22,58.77,170.62,0.13,4.39,159.04,3.75,15.29,16.03,13.07,6.43,2.59,135.01,0.14,2.62
2025-05-23 05:46:00,654.48,1001.20,1011.92,1033.63,940.10,871.19,-146.00,-89.05,-112.25,29.45,1.00,19.08,1.00,45.81,1.00,4.64,1.00,27.63,1.00,31.99,1.00,31.65,1.00,21.15,1.00,39.42,0.00,29.68,1017.00,2.00,9.00,614.38,659.42,807.60,-2702.00,144.91,-2007.00,178.10,2577.88,175.09,127.89,-22.00,11.64,11.32,18.39,29.06,25.72,213.74,247.85,0.91,163.77,-177.00,21.95,11.19,11.32,3.54,51.23,189.85,0.12,4.38,158.96,0.00,17.48,16.19,13.04,6.55,12.68,132.54,0.11,1.33
2025-05-23 05:48:00,652.02,1008.28,1014.00,1049.75,938.15,886.79,-150.55,-96.75,-34.60,29.43,1.00,19.15,1.00,45.79,1.00,4.64,1.00,27.63,1.00,29.54,1.00,31.65,1.00,21.15,1.00,38.28,0.00,29.57,0.00,0.00,6.00,613.53,660.34,783.66,-2681.95,144.60,-2060.85,178.28,2449.77,174.78,127.55,-15.00,11.67,11.32,18.19,28.30,24.93,207.04,194.59,0.88,163.99,-146.00,23.52,11.19,10.91,3.81,63.23,157.28,0.12,4.33,158.74,5.00,18.51,17.28,12.38,5.76,37.14,124.48,0.09,1.43
2025-05-23 05:50:00,650.84,1007.63,1014.33,1045.53,934.31,914.94,-157.25,-97.00,-86.05,29.44,1.00,19.56,1.00,45.80,1.00,4.63,1.00,27.63,1.00,29.56,1.00,31.64,1.00,21.15,1.00,38.21,0.00,29.68,4.00,0.00,0.00,612.56,658.13,770.34,-2681.25,144.00,-2049.35,179.01,2456.95,178.72,127.32,-45.00,11.86,11.32,18.07,26.76,23.22,203.91,138.88,0.82,163.77,-155.00,21.82,11.22,11.21,3.81,55.58,171.88,0.11,4.36,158.31,0.00,18.96,17.22,11.79,5.47,86.87,84.67,5.63,0.85
2025-05-23 05:52:00,646.29,1005.22,1012.51,1044.16,930.87,915.92,-150.55,-82.75,-106.60,29.44,1.00,19.21,1.00,45.80,1.00,4.63,1.00,27.63,1.00,29.55,1.00,31.64,1.00,21.15,1.00,38.18,0.00,29.75,4.00,8.00,0.00,608.47,651.89,770.64,-2704.05,143.29,-2086.75,179.73,2464.80,183.78,127.10,-33.00,12.20,11.32,18.32,30.54,34.89,206.02,500.00,0.95,164.34,-147.00,25.61,9.49,11.52,3.87,54.18,170.97,0.11,4.40,158.46,0.00,18.82,17.21,11.79,6.19,65.04,73.99,2.01,0.86
2025-05-23 05:54:00,642.59,992.88,992.61,1034.34,926.19,897.91,-157.00,-86.45,-59.75,29.44,1.00,19.62,1.00,45.81,1.00,4.63,1.00,27.63,1.00,29.55,1.00,31.65,1.00,21.15,1.00,38.20,0.00,29.81,2.00,3.00,0.00,604.30,646.82,787.50,-2688.20,142.88,-2080.95,180.57,2468.88,185.56,126.76,0.00,11.47,11.32,18.57,31.39,27.30,226.81,344.57,0.96,164.46,-125.00,22.34,8.02,11.52,3.84,54.18,171.01,0.13,4.40,158.62,0.00,19.12,16.87,12.15,5.70,33.99,93.02,0.04,0.77
2025-05-23 05:56:00,639.28,998.53,1002.95,1039.94,924.04,894.40,-147.60,-89.60,-108.45,29.45,1.00,19.51,1.00,45.81,1.00,4.64,1.00,27.63,1.00,29.54,1.00,31.64,1.00,21.15,1.00,38.20,0.00,29.57,3.00,5.00,1.00,599.17,640.32,794.64,-2699.95,142.57,-2110.60,180.78,2471.53,186.50,126.40,-8.00,11.30,11.32,18.35,29.08,29.93,199.30,500.00,0.92,165.14,-131.00,22.85,10.24,11.61,3.59,49.06,178.15,6.36,4.44,158.81,0.00,16.30,16.91,12.07,6.26,9.21,91.76,0.03,1.41
2025-05-23 05:58:00,632.78,1001.59,1005.22,1045.20,922.42,905.45,-158.60,-91.25,-67.60,29.42,1.00,19.24,1.00,45.80,1.00,4.66,1.00,27.63,1.00,29.54,1.00,31.65,1.00,21.15,1.00,38.21,0.00,29.79,11.00,1.00,2.00,594.75,634.79,795.24,-2690.00,142.17,-2063.15,182.12,2463.75,187.56,126.06,-23.00,11.44,11.32,18.63,31.63,35.58,210.24,500.00,0.97,165.03,-170.00,20.05,10.76,11.57,3.93,58.24,173.76,6.10,4.37,159.19,0.00,22.71,16.94,12.28,6.35,5.52,94.35,0.16,1.57
2025-05-23 06:00:00,626.47,998.20,1001.33,1041.62,924.36,910.65,-152.90,-99.05,-44.40,29.45,1.00,19.27,1.00,45.80,1.00,4.66,1.00,27.63,1.00,29.53,1.00,31.61,1.00,21.15,1.00,38.19,0.00,29.87,5.00,0.00,4.00,589.48,628.88,786.06,-2716.90,142.08,-2141.50,182.43,2501.42,187.99,125.72,6.00,12.17,11.32,18.68,33.65,29.26,223.77,408.09,1.03,165.01,-163.00,22.70,10.64,11.74,4.01,56.84,197.37,5.31,4.44,159.39,0.00,16.77,16.67,11.85,5.88,14.54,83.08,8.08,2.59
2025-05-23 06:02:00,625.36,999.83,1002.49,1042.08,921.05,916.37,-153.35,-90.80,-67.75,29.45,1.00,19.23,1.00,45.81,1.00,4.66,1.00,27.63,1.00,29.56,1.00,31.65,1.00,21.15,1.00,38.20,0.00,29.77,5.00,2.00,5.00,589.03,630.17,791.88,-2688.85,142.17,-2079.25,182.85,2479.10,188.39,125.49,7.00,12.09,11.32,18.68,33.76,29.26,223.77,408.09,1.03,165.48,-155.00,23.36,9.84,11.97,3.81,45.27,199.71,5.34,4.45,159.66,3.75,21.03,17.24,11.56,5.88,12.14,82.15,5.21,0.75
2025-05-23 06:04:00,627.84,1001.85,1003.21,1050.53,924.88,929.17,-139.00,-106.70,-53.55,29.44,1.00,19.20,1.00,45.79,1.00,4.64,1.00,27.63,1.00,34.53,1.00,31.63,1.00,21.15,1.00,38.21,0.00,29.58,5.00,4.00,0.00,591.50,633.68,789.00,-2711.25,142.35,-2104.85,183.66,2507.88,189.34,125.26,-8.00,12.04,11.32,18.02,24.72,21.94,212.02,162.67,0.77,165.58,-156.00,22.14,9.93,11.60,4.17,43.28,181.12,5.23,4.42,159.92,0.00,19.01,17.05,11.25,5.55,30.00,55.26,46.43,2.07
2025-05-23 06:06:00,629.59,996.39,995.15,1043.32,929.04,909.74,-155.80,-104.40,-108.20,29.43,1.00,19.20,1.00,45.80,1.00,4.66,1.00,27.63,1.00,39.48,1.00,31.63,1.00,21.15,1.00,41.92,0.00,29.67,0.00,0.00,4.00,594.36,638.17,804.12,-2684.70,142.47,-2095.25,184.10,2899.52,190.98,124.92,-20.00,11.88,11.32,17.96,26.11,22.92,206.15,173.04,0.81,165.71,-156.00,23.31,10.89,11.83,4.18,47.30,178.05,5.33,4.45,161.29,0.00,20.19,16.42,12.21,6.65,84.88,100.03,19.22,0.58
2025-05-23 06:08:00,631.28,996.45,998.85,1042.67,929.30,907.92,-158.50,-113.55,-85.40,29.44,1.00,19.14,1.00,45.81,1.00,4.65,1.00,27.63,1.00,39.49,1.00,31.66,1.00,21.15,1.00,41.90,0.00,29.86,2.00,3.00,3.00,595.47,639.21,815.82,-2704.70,142.57,-2097.80,184.50,2915.60,192.85,124.68,-22.00,11.94,11.32,18.07,26.02,22.28,215.31,139.19,0.79,165.71,-171.00,21.48,11.16,11.63,4.29,54.74,167.81,5.22,4.42,161.85,0.00,20.49,16.61,12.29,6.93,80.94,119.70,0.04,0.76
2025-05-23 06:10:00,629.85,1011.79,1017.25,1055.21,925.99,884.65,-152.25,-107.45,-92.15,29.43,1.00,19.08,1.00,45.80,1.00,4.65,1.00,27.63,1.00,39.49,1.00,31.65,1.00,21.15,1.00,41.90,0.00,29.58,5.00,4.00,2.00,595.40,639.08,824.76,-2708.85,142.80,-2096.65,184.82,2919.48,194.20,124.35,-40.00,11.94,11.32,18.22,27.59,23.98,199.59,178.10,0.85,166.05,-165.00,22.58,10.84,11.73,4.07,47.84,185.65,5.27,4.43,162.41,0.00,23.29,16.40,12.29,6.51,33.44,130.73,0.08,0.90
2025-05-23 06:12:00,629.91,1011.20,1013.67,1056.25,929.04,884.91,-159.45,-103.55,-91.15,29.43,1.00,19.24,1.00,45.83,1.00,4.66,1.00,27.63,1.00,37.77,1.00,31.64,1.00,21.15,1.00,41.87,0.00,29.76,5.00,0.00,3.00,594.36,636.48,823.62,-2694.90,142.80,-2149.90,185.01,2916.50,194.71,124.12,0.00,12.11,11.32,18.39,29.63,25.62,236.17,196.89,0.90,166.15,-164.00,25.35,10.19,11.24,3.99,59.83,159.76,6.03,4.36,162.82,2.50,17.86,16.15,12.47,6.41,7.97,133.84,0.12,0.92
2025-05-23 06:14:00,628.74,1012.38,1019.65,1056.51,931.97,887.58,-154.10,-103.30,-122.00,29.44,1.00,19.24,1.00,45.80,1.00,4.64,1.00,27.63,1.00,37.50,1.00,31.62,1.00,21.15,1.00,41.90,0.00,29.77,3.00,8.00,0.00,593.39,635.70,811.62,-2694.15,142.88,-2105.55,185.11,2905.75,195.14,123.87,6.00,11.98,11.32,18.43,30.18,26.70,216.11,336.92,0.94,166.62,-179.00,21.74,10.54,11.50,4.07,66.23,169.65,6.18,4.39,163.33,0.00,17.74,15.64,12.71,6.19,4.41,139.03,0.08,1.25
2025-05-23 06:16:00,627.64,1011.85,1014.58,1053.00,934.31,889.78,-155.60,-109.35,-73.15,29.42,1.00,19.14,1.00,45.80,1.00,4.64,1.00,27.63,1.00,37.51,1.00,31.62,1.00,21.15,1.00,41.91,0.00,29.76,5.00,7.00,0.00,592.54,634.47,764.82,-2704.00,142.68,-2087.60,185.64,2953.90,195.46,123.66,-53.00,12.13,11.32,18.42,29.13,26.19,241.06,231.68,0.92,166.27,-147.00,24.60,9.92,11.34,3.94,61.01,162.93,6.17,4.39,164.19,0.00,16.58,16.02,12.71,6.76,14.41,122.86,0.12,0.74
2025-05-23 06:18:00,627.84,1010.95,1013.09,1058.40,934.38,887.45,-151.25,-105.00,-131.60,29.43,1.00,19.18,1.00,45.82,1.00,4.65,1.00,27.63,1.00,37.51,1.00,31.61,1.00,21.15,1.00,41.88,0.00,29.66,7.00,2.00,0.00,592.67,635.05,771.96,-2702.15,142.35,-2167.60,185.73,2915.73,195.46,123.54,-30.00,12.32,11.32,18.32,27.68,24.26,218.18,225.54,0.86,166.85,-156.00,23.63,10.64,11.41,3.86,65.40,178.07,5.14,4.40,164.36,0.00,18.10,15.63,12.89,6.67,66.81,127.27,0.13,1.67
2025-05-23 06:20:00,627.96,1006.46,1010.75,1051.51,931.78,881.53,-128.70,-105.60,-75.35,29.44,1.00,19.22,1.00,45.81,1.00,4.64,1.00,27.63,1.00,37.51,1.00,31.64,1.00,21.15,1.00,41.43,0.00,29.59,4.00,5.00,5.00,592.99,635.38,784.02,-2782.05,141.75,-2117.75,185.95,2888.27,195.14,123.20,-17.00,11.96,11.32,18.20,27.79,20.67,213.10,163.97,0.86,166.74,-148.00,24.30,9.15,11.84,4.05,47.46,170.42,8.53,4.45,164.74,0.00,20.81,15.82,12.87,6.74,55.88,132.07,0.11,1.72
2025-05-23 06:22:00,627.84,1009.71,1011.53,1057.35,937.10,885.95,-133.75,-107.70,11.85,29.45,1.00,19.53,1.00,45.81,1.00,4.65,1.00,27.63,1.00,37.49,1.00,31.61,1.00,21.15,1.00,41.41,0.00,29.58,4.00,0.00,2.00,593.26,636.29,766.14,-2772.50,138.18,-2110.50,186.26,3000.00,195.14,123.09,-8.00,12.00,11.32,18.23,27.58,20.72,196.89,173.86,0.86,166.85,-164.00,20.37,10.51,11.54,3.74,60.42,164.31,5.15,4.40,164.76,0.00,18.13,15.99,12.55,6.63,58.55,134.20,0.01,2.10
2025-05-23 06:24:00,627.18,1014.26,1019.13,1056.25,938.47,890.37,-119.60,-109.45,-5.25,29.46,1.00,19.56,1.00,45.79,1.00,4.66,1.00,27.63,1.00,37.48,1.00,31.63,1.00,21.15,1.00,41.41,0.00,29.47,6.00,5.00,0.00,591.50,632.97,753.00,-2775.90,136.98,-2194.65,186.60,3000.00,195.14,122.85,-16.00,12.26,11.32,18.59,31.03,23.44,247.52,189.72,1.01,167.07,-140.00,21.37,10.89,11.07,3.60,71.23,149.88,5.90,4.33,164.85,0.00,19.97,16.32,11.74,5.46,77.44,109.07,0.09,1.55
2025-05-23 06:26:00,626.21,1012.38,1014.72,1059.76,933.27,878.15,-108.00,-100.60,-110.10,29.45,1.00,19.58,1.00,45.79,1.00,4.67,1.00,27.63,1.00,37.51,1.00,31.62,1.00,21.15,1.00,41.43,0.00,29.77,1.00,0.00,0.00,591.05,632.84,774.54,-2812.70,135.43,-2195.80,186.78,2748.27,194.60,122.62,-25.00,11.90,11.32,18.47,31.45,23.18,220.32,311.57,1.00,167.41,-187.00,22.84,10.46,11.39,3.70,68.21,162.18,5.04,4.37,165.39,2.50,17.24,16.05,12.13,6.31,85.88,128.50,0.08,2.56
2025-05-23 06:28:00,625.17,1013.87,1016.40,1056.90,934.05,881.53,-155.60,-92.05,-102.35,29.45,1.00,19.58,1.00,45.80,1.00,4.67,1.00,27.63,1.00,37.50,1.00,31.63,1.00,21.15,1.00,41.42,0.00,29.58,3.00,0.00,2.00,591.17,632.97,770.58,-2687.20,130.11,-2175.50,186.90,2797.93,195.05,122.40,-24.00,11.36,11.32,18.46,27.98,21.16,206.42,184.20,1.20,167.41,-164.00,23.48,10.44,11.39,3.77,48.76,161.68,6.06,4.37,165.92,8.75,19.18,16.11,12.13,6.01,17.18,124.52,0.60,0.91
2025-05-23 06:30:00,623.28,1026.48,1044.48,1066.45,934.38,885.49,-158.00,-96.65,-69.15,29.44,1.00,19.52,1.00,45.79,1.00,4.65,1.00,27.63,1.00,34.87,1.00,31.60,1.00,21.15,1.00,41.44,0.00,29.68,0.00,0.00,0.00,588.96,630.17,759.90,-2710.70,132.07,-2144.00,187.22,2761.35,196.20,122.06,-32.00,11.80,11.32,18.22,28.11,21.31,241.73,260.56,0.92,167.52,-133.00,22.82,10.56,11.03,3.68,87.71,147.51,7.69,4.31,166.41,0.00,18.09,16.11,12.28,6.34,11.86,129.71,0.08,1.67
2025-05-23 06:32:00,622.11,1025.51,1039.29,1064.90,936.39,896.93,-158.65,-100.25,-140.70,29.44,1.00,19.51,1.00,45.81,1.00,4.67,1.00,27.63,1.00,34.54,1.00,31.62,1.00,21.15,1.00,41.41,0.00,29.77,3.00,1.00,0.00,583.57,623.54,759.30,-2710.60,132.98,-2181.70,187.11,2785.75,196.60,121.59,-16.00,11.52,11.32,18.60,31.58,23.80,276.00,403.61,1.03,167.88,-148.00,21.56,10.19,11.21,3.57,79.58,164.31,7.85,4.34,166.57,2.50,17.56,16.04,12.26,6.67,9.29,128.35,0.07,0.87
2025-05-23 06:34:00,615.74,1019.72,1031.29,1056.25,939.77,923.52,-121.55,-101.95,-95.80,29.45,1.00,19.57,1.00,45.79,1.00,4.67,1.00,27.63,1.00,34.52,1.00,31.62,1.00,21.15,1.00,41.42,0.00,29.68,4.00,2.00,0.00,580.26,619.45,742.44,-2696.55,134.52,-2179.85,187.22,2797.43,197.64,121.25,-25.00,11.93,11.32,18.51,30.15,27.00,248.47,485.24,0.99,168.10,-157.00,21.75,11.09,11.19,3.96,71.06,169.35,5.02,4.36,167.16,0.00,19.38,16.44,11.88,5.96,77.41,92.24,5.53,0.76
2025-05-23 06:36:00,613.67,1013.80,1017.18,1055.54,938.34,913.06,-113.95,-32.15,-154.60,29.45,1.00,19.57,1.00,45.79,1.00,4.68,1.00,27.63,1.00,34.53,1.00,31.64,1.00,21.15,1.00,41.42,0.00,29.68,4.00,3.00,2.00,576.88,615.68,755.34,-2838.70,132.87,-2239.90,187.11,2819.65,197.64,120.92,-40.00,11.98,11.32,18.82,34.73,26.50,251.79,437.21,1.14,168.10,-163.00,23.37,10.10,12.56,3.93,58.27,158.47,4.32,4.48,167.44,0.00,17.09,15.22,12.59,6.37,73.47,109.61,0.04,0.83
2025-05-23 06:38:00,609.90,1018.74,1013.74,1053.97,935.54,890.11,-111.90,-116.70,-127.60,29.44,1.00,19.52,1.00,45.80,1.00,4.67,1.00,27.63,1.00,34.51,1.00,31.61,1.00,21.15,1.00,41.42,0.00,29.47,5.00,5.00,3.00,574.67,612.89,780.06,-2838.50,127.95,-2175.35,186.15,2831.67,197.03,120.57,15.00,12.42,11.32,18.83,34.35,21.76,277.39,317.04,1.13,168.00,-140.00,23.31,10.14,11.93,4.33,57.93,165.88,4.30,4.47,167.68,10.00,18.36,15.32,12.90,6.69,15.82,125.02,0.09,0.64
2025-05-23 06:40:00,608.47,1010.69,1000.87,1055.21,936.00,890.50,-155.15,-106.65,-160.10,29.44,1.00,19.57,1.00,45.79,1.00,4.66,1.00,27.63,1.00,34.53,1.00,31.63,1.00,21.15,1.00,41.42,0.00,29.66,6.00,10.00,4.00,573.69,612.43,784.32,-2713.90,125.85,-2214.25,184.27,2997.48,196.81,120.23,-10.00,11.73,11.32,18.59,31.33,19.95,254.34,279.62,1.04,167.31,-164.00,24.42,10.10,11.70,4.09,51.09,156.46,5.27,4.43,167.89,3.75,19.45,15.49,12.65,6.57,2.21,108.08,0.06,1.25
2025-05-23 06:42:00,606.45,1024.66,1030.83,1061.97,931.97,875.29,-151.40,-89.05,-64.45,29.46,1.00,19.60,1.00,45.81,1.00,4.65,1.00,27.63,1.00,29.55,1.00,31.63,1.00,21.15,1.00,45.42,0.00,29.67,8.00,6.00,3.00,571.80,609.83,781.20,-2720.10,129.21,-2175.20,181.40,3000.00,183.40,119.88,-23.00,12.03,11.32,18.43,31.42,24.19,261.31,399.12,1.04,167.52,-134.00,24.03,10.39,11.21,3.53,70.08,167.82,4.88,4.33,168.96,0.00,19.82,13.90,13.85,7.07,1.57,104.57,0.02,0.81
2025-05-23 06:44:00,603.53,1024.98,1028.23,1068.54,937.04,908.44,-156.45,-116.10,-36.40,29.44,1.00,19.29,1.00,45.83,1.00,4.67,1.00,27.63,1.00,29.55,1.00,31.65,1.00,21.15,1.00,45.40,0.00,29.46,5.00,4.00,3.00,569.33,607.68,743.64,-2714.65,131.55,-2230.30,180.87,3000.00,170.44,119.42,-32.00,12.26,11.32,18.59,33.37,25.21,265.65,500.00,1.08,166.95,-141.00,22.75,10.54,11.15,3.39,63.87,151.28,4.94,4.34,168.21,1.25,16.82,14.01,14.16,7.99,4.15,86.72,0.46,1.73
2025-05-23 06:46:00,601.51,1017.12,1020.50,1061.65,939.90,923.85,-162.85,-118.05,-118.00,29.43,1.00,19.19,1.00,45.81,1.00,4.65,1.00,27.63,1.00,29.56,1.00,31.62,1.00,21.15,1.00,39.40,0.00,29.66,0.00,8.00,1.00,567.39,605.15,731.58,-2716.05,132.79,-2270.90,181.09,3000.00,169.81,118.96,14.00,12.31,11.32,18.58,30.76,23.72,231.34,355.08,1.02,166.95,-148.00,21.95,9.58,11.55,3.82,57.55,185.94,4.11,4.41,166.43,8.75,16.80,15.05,13.95,7.62,97.56,60.02,25.42,3.78
2025-05-23 06:48:00,599.62,1009.19,1007.17,1051.70,938.92,957.97,-163.30,-102.50,-49.90,29.44,1.00,19.42,1.00,45.83,1.00,4.68,1.00,27.63,1.00,25.59,1.00,31.63,1.00,21.15,1.00,37.47,0.00,29.46,7.00,1.00,0.00,564.85,603.01,747.18,-2716.05,133.47,-2270.90,181.50,3000.00,180.18,118.74,7.00,11.64,11.32,18.62,30.76,23.72,231.34,355.08,1.02,166.83,-150.00,22.93,10.19,12.01,3.82,57.55,185.94,4.11,4.41,164.87,8.75,16.80,15.05,13.95,7.62,97.56,60.02,25.42,3.78
2025-05-23 06:50:00,597.74,1004.77,999.96,1049.43,942.70,969.09,-163.35,-108.85,-132.70,29.45,1.00,19.45,1.00,45.83,1.00,4.66,1.00,27.63,1.00,29.55,1.00,31.62,1.00,21.15,1.00,41.42,0.00,29.76,4.00,4.00,4.00,562.64,600.15,724.50,-2706.45,134.01,-2170.95,181.89,2435.60,185.36,118.50,6.00,11.95,11.32,18.74,32.89,24.86,256.29,391.00,1.07,166.83,-157.00,22.80,9.73,11.50,3.87,43.95,158.62,5.18,4.41,164.92,0.00,20.45,17.11,10.90,5.28,89.81,36.75,272.28,2.27
2025-05-23 06:52:00,592.67,1017.05,1018.94,1059.18,953.88,963.69,-160.70,-86.35,-172.60,29.46,1.00,19.42,1.00,45.82,1.00,4.66,1.00,27.63,1.00,31.72,1.00,31.63,1.00,21.15,1.00,40.57,0.00,29.66,6.00,1.00,0.00,558.61,595.66,713.34,-2711.00,134.41,-2202.90,182.24,2852.25,189.00,118.15,7.00,11.91,11.32,18.84,35.07,31.66,278.05,500.00,1.54,166.95,-141.00,21.75,9.47,11.38,3.65,49.90,144.97,4.09,4.40,165.36,0.00,20.32,16.20,11.87,5.95,47.85,80.47,146.85,2.25
2025-05-23 06:54:00,588.25,1019.98,1017.38,1062.75,950.62,952.71,-160.90,-83.90,-45.80,29.45,1.00,19.50,1.00,45.84,1.00,4.65,1.00,27.63,1.00,31.54,1.00,31.64,1.00,21.15,1.00,39.44,0.00,29.67,0.00,9.00,2.00,554.64,590.14,752.46,-2721.05,134.71,-2215.10,182.54,3000.00,191.18,117.93,-47.00,11.85,11.32,18.98,36.29,27.51,289.88,500.00,1.56,166.95,-157.00,21.71,10.21,10.65,3.55,60.81,149.70,5.95,4.34,165.00,0.00,21.44,15.43,12.31,6.04,22.09,130.39,3.46,3.08
2025-05-23 06:56:00,584.48,1025.24,1024.27,1063.85,956.54,947.24,-159.60,-93.05,-65.05,29.46,1.00,19.34,1.00,45.84,1.00,4.67,1.00,27.63,1.00,31.55,1.00,31.64,1.00,21.15,1.00,39.44,0.00,29.67,5.00,5.00,4.00,550.74,585.59,765.24,-2719.55,135.03,-2248.45,183.03,2717.40,192.01,117.70,-18.00,11.94,11.32,19.10,7.65,8.80,56.50,261.64,0.25,166.95,-149.00,20.71,9.70,10.75,3.81,88.60,123.72,7.52,4.28,164.44,0.00,21.08,16.39,11.60,5.90,93.41,67.71,13.24,1.32
2025-05-23 06:58:00,579.02,1011.79,1007.11,1057.55,954.72,946.73,-170.25,-91.55,-187.65,29.45,1.00,19.34,1.00,45.83,1.00,4.66,1.00,27.63,1.00,31.55,1.00,31.64,1.00,21.15,1.00,39.42,0.00,29.87,0.00,5.00,2.00,542.29,574.73,778.86,-2721.55,135.13,-2205.10,183.48,2571.88,192.24,117.48,-63.00,12.18,11.32,19.27,7.57,8.80,59.71,261.64,0.33,167.40,-148.00,20.33,9.32,11.11,3.81,66.97,137.86,4.95,4.34,164.74,0.00,18.43,16.46,12.04,5.91,100.00,81.55,1.17,1.66
2025-05-23 07:00:00,571.16,1008.15,1004.45,1047.34,949.26,954.07,-166.60,-98.25,-189.50,29.44,1.00,19.45,1.00,45.84,1.00,4.66,1.00,27.63,1.00,31.55,1.00,31.64,1.00,21.15,1.00,39.43,0.00,29.45,1.00,4.00,2.00,537.88,569.40,790.92,-2730.10,135.43,-2269.10,184.10,2271.20,193.34,117.24,5.00,11.79,11.32,19.33,7.67,14.95,59.71,261.64,0.25,167.18,-133.00,23.19,10.14,11.25,3.90,55.12,150.35,4.96,4.35,165.47,0.00,20.45,17.15,11.48,5.55,56.67,66.55,42.88,2.68
2025-05-23 07:02:00,564.20,1003.92,994.50,1043.51,949.13,949.91,-167.10,-92.10,-129.15,29.45,1.00,19.45,1.00,45.82,1.00,4.67,1.00,27.63,1.00,34.05,1.00,31.62,1.00,21.15,1.00,39.45,0.00,29.67,2.00,2.00,0.00,531.24,561.08,783.00,-2713.90,135.54,-2247.15,184.27,2291.02,194.54,117.14,-16.00,12.20,11.32,19.44,7.64,14.95,59.71,261.64,0.33,167.30,-157.00,21.62,9.70,11.28,3.74,43.13,154.15,5.08,4.38,166.11,0.00,21.50,16.26,11.79,6.01,64.23,68.92,69.27,1.55
2025-05-23 07:04:00,560.23,1003.92,989.30,1041.36,949.58,947.12,-169.75,-97.55,-131.50,29.45,1.00,19.44,1.00,45.84,1.00,4.67,1.00,27.63,1.00,34.05,1.00,31.63,1.00,21.15,1.00,39.44,0.00,29.70,7.00,2.00,3.00,523.77,552.37,780.96,-2720.90,135.54,-2283.35,184.82,2309.55,195.35,116.89,-18.00,12.09,11.32,19.46,7.59,16.92,59.75,261.64,0.25,167.52,-157.00,21.88,9.83,11.43,3.84,43.24,162.44,4.05,4.38,166.35,0.00,24.20,16.35,11.78,5.79,22.81,93.27,3.18,0.88
2025-05-23 07:06:00,555.68,1003.27,990.21,1043.64,949.52,931.84,-161.80,-97.80,-142.95,29.44,1.00,19.50,1.00,45.81,1.00,4.66,1.00,27.63,1.00,34.02,1.00,31.61,1.00,21.15,1.00,39.45,0.00,29.77,2.00,1.00,2.00,518.38,545.80,797.94,-2721.55,135.21,-2209.10,184.89,2302.08,196.20,116.67,-24.00,12.15,11.32,19.46,7.63,16.93,59.75,261.64,0.25,167.64,-148.00,19.93,10.06,11.43,3.90,33.11,163.74,4.08,4.40,166.82,3.75,18.33,15.74,12.52,6.07,10.70,122.24,0.08,1.44
