时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分,数据来源,数据日期
2024-11-06 08:30:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 08:30:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 08:35:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 08:35:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 08:40:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 08:40:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 08:45:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 08:45:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 08:50:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 08:50:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 08:55:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 08:55:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:00:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:00:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 09:05:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:05:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 09:10:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:10:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 09:15:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:15:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 09:20:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:20:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 09:25:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 09:25:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:30:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 09:30:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:32:00,1,预警,焚烧炉出口氧含量偏低,预警,11.6_process.xlsx,11.6
2024-11-06 09:45:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 09:45:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 10:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.6_process.xlsx,11.6
2024-11-06 10:10:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 10:10:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 10:12:00,1,预警,焚烧炉出口氧含量偏高,预警,11.6_process.xlsx,11.6
2024-11-06 10:15:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 10:15:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 10:20:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 10:20:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 10:25:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 10:25:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 10:30:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 10:30:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 10:35:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 10:35:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 11:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.6_process.xlsx,11.6
2024-11-06 11:30:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 11:30:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 15:10:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 15:10:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 16:00:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 16:00:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 23:20:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-06 23:20:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 23:25:00,1,报警,低炉温焚烧,报警,11.6_process.xlsx,11.6
2024-11-06 23:25:00,1,预警,瞬时低炉温焚烧,预警,11.6_process.xlsx,11.6
2024-11-07 00:00:00,1,报警,烟气中一氧化碳（CO）排放超标,报警,11.7_process.xlsx,11.7
2024-11-07 00:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 00:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 00:22:00,1,预警,布袋除尘器压力损失偏低,预警,11.7_process.xlsx,11.7
2024-11-07 00:22:00,1,预警,焚烧炉出口氧含量偏高,预警,11.7_process.xlsx,11.7
2024-11-07 00:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 00:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 00:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 00:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 01:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 01:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.7_process.xlsx,11.7
2024-11-07 02:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 02:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 02:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.7_process.xlsx,11.7
2024-11-07 03:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 03:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 03:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.7_process.xlsx,11.7
2024-11-07 04:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 04:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 04:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.7_process.xlsx,11.7
2024-11-07 05:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 05:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 05:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.7_process.xlsx,11.7
2024-11-07 06:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 06:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 06:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:00:00,1,预警,烟气中一氧化碳（CO）浓度较高,预警,11.7_process.xlsx,11.7
2024-11-07 07:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 07:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 07:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 08:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 08:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:50:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 09:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:55:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 09:55:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:00:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:00:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:05:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:05:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:10:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:10:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:15:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:15:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:20:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:20:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:25:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:25:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:30:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:30:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:35:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:35:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:40:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:40:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:45:00,1,报警,低炉温焚烧,报警,11.7_process.xlsx,11.7
2024-11-07 10:45:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
2024-11-07 10:50:00,1,预警,瞬时低炉温焚烧,预警,11.7_process.xlsx,11.7
